0.16,0.14562,0.0143798,pushing with,754.942,0,1963.72,0
0.16,0.14562,0.0143802,pushing with,754.963,0,1963.71,0
0.16,0.14562,0.0143802,pushing with,754.963,0,1963.71,0
0.16,0.145647,0.0143525,pushing with,753.506,0,1964.66,0
0.16,0.145643,0.0143566,pushing with,753.722,0,1964.52,0
0.16,0.145658,0.0143415,pushing with,752.931,339,1965.03,0
0.16,0.149488,0.0105117,pushing with,551.862,506,1903.72,0
0.16,0.158702,0.00129825,pushing with,68.1581,543,1576.64,0
0.16,0.171777,-0.0117765,pulling with,1711.87,1108.5,1299.69,0
0.16,0.184262,-0.0242618,pulling with,1963.32,1353.17,1114.15,0
0.16,0.186363,-0.026363,pulling with,1986.23,1501.5,1063.52,0
0.16,0.184678,-0.0246785,pulling with,1968.06,1534.5,1104.31,0
0.16,0.183208,-0.0232079,pulling with,1950.36,1637.33,1138.09,0
0.16,0.181884,-0.0218844,pulling with,1931.51,1691.17,1165.56,0
0.16,0.17984,-0.0198403,pulling with,1895.69,1746.33,1201.27,0
0.16,0.178099,-0.0180986,pulling with,1859.12,1778.83,1225.67,0
0.16,0.175655,-0.0156549,pulling with,1801.89,1793,1253.97,0
0.16,0.172849,-0.0128486,pulling with,1735.52,1801.33,1285.82,0
0.16,0.169963,-0.00996272,pulling with,1675.43,1799.5,1326.73,0
0.16,0.167105,-0.00710489,pulling with,1628.08,1788.33,1379.4,0
0.16,0.164265,-0.00426547,pulling with,1590.92,1778.17,1441.63,0
0.16,0.16188,-0.00188007,pulling with,1563.8,1770.33,1498,0
0.16,0.159927,7.28868e-05,pushing with,3.82656,34,1545.68,0
0.16,0.158285,0.00171483,pushing with,90.0284,15,1587.46,0
0.16,0.156913,0.00308736,pushing with,162.086,0,1624.76,0
0.16,0.156095,0.00390543,pushing with,205.035,0,1648.59,0
0.16,0.156041,0.0039593,pushing with,207.863,0,1650.21,0
0.16,0.156076,0.00392413,pushing with,206.017,0,1649.16,0
0.16,0.156042,0.00395801,pushing with,207.795,0,1650.18,0
0.16,0.155959,0.00404113,pushing with,212.159,128,1652.69,0
0.16,0.15658,0.00341977,pushing with,179.538,192,1634.27,0
0.16,0.157277,0.00272316,pushing with,142.966,175,1614.57,0
0.16,0.15757,0.00243048,pushing with,127.6,172,1606.55,0
0.16,0.15757,0.00243048,pushing with,127.6,172,1606.55,0
0.16,0.157485,0.0025149,pushing with,132.032,169,1608.85,0
0.16,0.157485,0.0025149,pushing with,132.032,169,1608.85,0
0.16,0.157501,0.00249872,pushing with,131.183,168,1608.41,0
0.16,0.157499,0.00250142,pushing with,131.324,168,1608.48,0
0.16,0.157502,0.0024984,pushing with,131.166,168,1608.4,0
0.16,0.157489,0.00251127,pushing with,131.842,168,1608.75,0
0.16,0.157599,0.00240077,pushing with,126.04,168,1605.75,0
0.16,0.157586,0.00241427,pushing with,126.749,168,1606.11,0
0.16,0.157544,0.00245572,pushing with,128.925,167,1607.24,0
0.16,0.157527,0.00247346,pushing with,129.857,167,1607.72,0
0.16,0.157588,0.00241245,pushing with,126.654,167,1606.06,0
0.16,0.157507,0.00249317,pushing with,130.892,167,1608.26,0
0.16,0.157591,0.00240908,pushing with,126.477,167,1605.97,0
0.16,0.157582,0.00241841,pushing with,126.967,167,1606.23,0
0.16,0.157582,0.00241841,pushing with,126.967,167,1606.23,0
0.16,0.157577,0.00242284,pushing with,127.199,165,1606.35,0
0.16,0.157618,0.00238183,pushing with,125.046,164,1605.23,0
0.16,0.1576,0.00240023,pushing with,126.012,161,1605.73,0
0.16,0.157613,0.00238661,pushing with,125.297,158,1605.36,0
0.16,0.15759,0.00240992,pushing with,126.521,155,1605.99,0
0.16,0.157606,0.00239359,pushing with,125.664,151,1605.55,0
0.16,0.157606,0.00239359,pushing with,125.664,151,1605.55,0
0.16,0.157591,0.00240941,pushing with,126.494,146,1605.98,0
0.16,0.157606,0.00239383,pushing with,125.676,145,1605.56,0
0.16,0.157609,0.00239104,pushing with,125.529,143,1605.48,0
0.16,0.157609,0.00239104,pushing with,125.529,143,1605.48,0
0.16,0.157588,0.0024118,pushing with,126.619,140,1606.05,0
0.16,0.15758,0.00241985,pushing with,127.042,140,1606.26,0
0.16,0.157585,0.00241516,pushing with,126.796,139,1606.14,0
0.16,0.157595,0.00240533,pushing with,126.28,138,1605.87,0
0.16,0.157595,0.00240469,pushing with,126.246,138,1605.85,0
0.16,0.157595,0.00240469,pushing with,126.246,138,1605.85,0
0.16,0.157588,0.00241245,pushing with,126.654,137,1606.06,0
0.16,0.157576,0.0024236,pushing with,127.239,137,1606.37,0
0.16,0.157576,0.0024236,pushing with,127.239,137,1606.37,0
0.16,0.157596,0.00240377,pushing with,126.198,137,1605.83,0
0.16,0.157613,0.00238687,pushing with,125.31,137,1605.37,0
0.16,0.157603,0.00239677,pushing with,125.83,137,1605.64,0
