iteration,x,y,z,r,p0,p1,p2,p3,p4,p5,pxy1,pxy2,pxy3,pxy4
0,-0.006283590558892538,-0.004558498062741671,-0.26935718715445767,0.007762951429696246,75.4645,98.1495,0,0,115.408,33.7295,85,-26.3897,70.7358,74.5688
0,-0.0068257328495721125,-0.006171580948409769,-0.26939145964170347,0.009202121512809002,79.9036,103.923,0,0,122.197,35.7136,90,-27.942,74.8967,78.9552
0,-0.005606188028466406,-0.006292427100670367,-0.26950945121644754,0.008427572783890443,84.3426,109.697,0,0,128.986,37.6977,95,-29.4944,79.0576,83.3416
0,-0.0034668040396316217,-0.005627533776906784,-0.26960075409497486,0.006609679769809795,88.7817,115.47,0,0,135.774,39.6818,100,-31.0467,83.2185,87.728
0,-0.0018512960119722423,-0.006047791008577911,-0.26972886997413664,0.006324798258235606,93.2208,121.244,0,0,142.563,41.6659,105,-32.599,87.3795,92.1144
0,-0.0013417822743472096,-0.007919899557184052,-0.26975085364235335,0.00803275722698231,97.6599,127.017,0,0,149.352,43.65,110,-34.1514,91.5404,96.5008
0,-0.0023316908885130517,-0.009923011468215054,-0.26973061262735387,0.010193279109192599,102.099,132.791,0,0,156.14,45.6341,115,-35.7037,95.7013,100.887
0,-0.0031331448511155336,-0.010836859797220082,-0.26973723714401343,0.011280697093826989,106.538,138.564,0,0,162.929,47.6182,120,-37.256,99.8622,105.274
0,-0.0028193903122755324,-0.010556574891233997,-0.26980808015653485,0.010926583874532114,110.977,144.338,0,0,169.718,49.6023,125,-38.8084,104.023,109.66
0,-0.0006799630002762581,-0.009178674562170273,-0.2699937616208581,0.009203826182625156,115.416,150.111,0,0,176.507,51.5863,130,-40.3607,108.184,114.046
0,0.001310053047463817,-0.008810963462018767,-0.27007213911802097,0.008907823309664317,119.855,155.885,0,0,183.295,53.5704,135,-41.9131,112.345,118.433
0,0.002159121523719713,-0.00974822129069667,-0.2700668171083572,0.009984469143954603,124.294,161.658,0,0,190.084,55.5545,140,-43.4654,116.506,122.819
0,0.0018745770322313427,-0.011737922308370126,-0.2700075912032761,0.011886667285959607,128.734,167.432,0,0,196.873,57.5386,145,-45.0177,120.667,127.206
0,0.0014073514652839492,-0.013383997853162265,-0.26992823106355723,0.013457787213367916,133.173,173.205,0,0,203.661,59.5227,150,-46.5701,124.828,131.592
0,0.0015324583154033942,-0.013806761182715128,-0.26999623713870924,0.013891547172470684,137.612,178.979,0,0,210.45,61.5068,155,-48.1224,128.989,135.978
0,0.002164061946616099,-0.01345275680666482,-0.27005142115523634,0.0136257047453722,142.051,184.752,0,0,217.239,63.4909,160,-49.6747,133.15,140.365
0,0.0023508675988384597,-0.01323211864638939,-0.270148788915724,0.013439328195240796,146.49,190.526,0,0,224.028,65.475,165,-51.2271,137.311,144.751
0,0.0018288799693832022,-0.01426926177206227,-0.2701399022724988,0.014385987399620812,150.929,196.299,0,0,230.816,67.4591,170,-52.7794,141.472,149.138
0,0.0009850386454279682,-0.016363528939208748,-0.27004455875136224,0.016393150413429043,155.368,202.073,0,0,237.605,69.4432,175,-54.3317,145.632,153.524
0,0.00018260834502205326,-0.018457558827229187,-0.269899576386368,0.018458462115471534,159.807,207.846,0,0,244.394,71.4272,180,-55.8841,149.793,157.91
0,-0.00019998756568244305,-0.01954863512086333,-0.26986257795056606,0.019549658056218756,164.246,213.62,0,0,251.182,73.4113,185,-57.4364,153.954,162.297
0,-0.00010159144865141251,-0.01966525460469722,-0.26991353640026233,0.019665517015578417,168.685,219.393,0,0,257.971,75.3954,190,-58.9887,158.115,166.683
0,-0.00011984358751768252,-0.019584342389961124,-0.2700082771809618,0.019584709069391287,173.124,225.167,0,0,264.76,77.3795,195,-60.5411,162.276,171.07
0,-0.0003844062153573617,-0.020301138263277674,-0.2699955352707335,0.02030477734236754,177.563,230.94,0,0,271.549,79.3636,200,-62.0934,166.437,175.456
0,-0.0010641932221245552,-0.02147764003385482,-0.26989138598770024,0.021503988668102,182.003,236.714,0,0,278.337,81.3477,205,-63.6457,170.598,179.842
0,-0.0022053108368552243,-0.02382100911297615,-0.2696665840905646,0.02392287338610569,186.442,242.487,0,0,285.126,83.3318,210,-65.1981,174.759,184.229
0,-0.0027392782585335374,-0.02523218516686186,-0.26954289647750834,0.025380441557870465,190.881,248.261,0,0,291.915,85.3159,215,-66.7504,178.92,188.615
0,-0.0027593352527569724,-0.025789525714751942,-0.26952066345971426,0.025936722376371287,195.32,254.034,0,0,298.703,87.3,220,-68.3027,183.081,193.002
0,-0.0027468076452320123,-0.0264649320537849,-0.2695525301018472,0.026607096437818174,199.759,259.808,0,0,305.492,89.2841,225,-69.8551,187.242,197.388
0,-0.003162614795774572,-0.027232114074035994,-0.26949679098141227,0.02741514488905287,204.198,265.581,0,0,312.281,91.2681,230,-71.4074,191.403,201.775
0,-0.0037038575499082904,-0.028899322731953933,-0.26932626000935295,0.0291357068751668,208.637,271.355,0,0,319.07,93.2522,235,-72.9598,195.564,206.161
0,-0.0036740330486744453,-0.029888331137566858,-0.26913091249922666,0.03011330033443031,213.076,277.128,0,0,325.858,95.2363,240,-74.5121,199.724,210.547
0,-0.003101325505363217,-0.031085011206263318,-0.2689673149690677,0.031239336445957562,217.515,282.902,0,0,332.647,97.2204,245,-76.0644,203.885,214.934
0,-0.002189535252057277,-0.03187337086547886,-0.2688901138347322,0.031948487209073895,221.954,288.675,0,0,339.436,99.2045,250,-77.6168,208.046,219.32
0,-0.0017793531693980984,-0.032316984133188766,-0.26891390451968644,0.03236593210717438,226.393,294.449,0,0,346.224,101.189,255,-79.1691,212.207,223.707
0,-0.0017380457063739282,-0.03296307801822302,-0.2688646363847694,0.033008867222504054,230.833,300.222,0,0,353.013,103.173,260,-80.7214,216.368,228.093
0,-0.0020247774518807196,-0.03385070663471127,-0.268790739929148,0.03391120852165152,235.272,305.996,0,0,359.802,105.157,265,-82.2738,220.529,232.479
0,-0.0022136346080778337,-0.03514014872746282,-0.2686361035130177,0.035209803049240235,239.711,311.769,0,0,366.591,107.141,270,-83.8261,224.69,236.866
0,-0.0018793271369677007,-0.03638277761978467,-0.2686437878559097,0.03643128295597683,244.15,317.543,0,0,373.379,109.125,275,-85.3784,228.851,241.252
0,-0.0011115056697082039,-0.0371394703633028,-0.2685464240978225,0.03715609914563745,248.589,323.316,0,0,380.168,111.109,280,-86.9308,233.012,245.639
0,-0.00041245097852781886,-0.03781495713245853,-0.26850355322485353,0.03781720638465201,253.028,329.09,0,0,386.957,113.093,285,-88.4831,237.173,250.025
0,-0.00010393287721395029,-0.0384231110695451,-0.26843055755417716,0.03842325163628874,257.467,334.863,0,0,393.745,115.077,290,-90.0354,241.334,254.411
0,-8.527178360537291e-05,-0.03970351693527832,-0.2683175979520036,0.03970360850485774,261.906,340.637,0,0,400.534,117.061,295,-91.5878,245.495,258.798
0,-0.0004182055898520711,-0.040009203783823194,-0.26824000508389195,0.040011389420149805,266.345,346.41,0,0,407.323,119.045,300,-93.1401,249.656,263.184
0,-0.00018850851696264998,-0.04132287090154385,-0.2681019105883,0.041323300872590354,270.784,352.184,0,0,414.112,121.029,305,-94.6924,253.817,267.571
0,9.586897796874021e-05,-0.041416070188486434,-0.2680032584509401,0.04141618114600345,275.223,357.957,0,0,420.9,123.014,310,-96.2448,257.977,271.957
0,0.000720119908492488,-0.04237291114408199,-0.26796659364684555,0.042379029855659445,279.662,363.731,0,0,427.689,124.998,315,-97.7971,262.138,276.343
0,0.0012915056860453265,-0.04328421864815192,-0.26785263898768547,0.043303482203145165,284.102,369.504,0,0,434.478,126.982,320,-99.3495,266.299,280.73
0,0.001464624995599607,-0.04369777847146468,-0.26768775187703703,0.043722316609701016,288.541,375.278,0,0,441.266,128.966,325,-100.902,270.46,285.116
0,0.0014298749127386447,-0.044553155361750085,-0.26752092402852373,0.04457609443361228,292.98,381.051,0,0,448.055,130.95,330,-102.454,274.621,289.503
0,0.00131705336239404,-0.045398070125463076,-0.26742562350989973,0.04541717076916897,297.419,386.825,0,0,454.844,132.934,335,-104.006,278.782,293.889
0,0.0012515957674741826,-0.046343684287680015,-0.26727238332952313,0.04636058202095093,301.858,392.598,0,0,461.633,134.918,340,-105.559,282.943,298.275
