t[microsec], x_fk, y_fk, z_fk, x_gt, y_gt, z_gt, distance
202780000, 4.049999963718751e-05, 0, 0.2699999955562501, 0.00931964621530626, 0.012176020515646695, 0.27562180512932344, 0.016308365122387772
202810000, 0.0026346034810288133, -0.0029218967318961147, 0.2699618463702201, 0.009335080191829326, 0.012133014857002154, 0.27562164285980545, 0.01742354864558441
202850000, 0.002684199376067285, -0.002951421065516535, 0.2699608618773782, 0.009399286562527337, 0.012134033818396249, 0.27561826438746306, 0.017454785823304803
202880000, 0.0027358018813154533, -0.002936847145854686, 0.26996052261199005, 0.009488157958307236, 0.012164127459584596, 0.27561567179003194, 0.017481832250954638
202910000, 0.0028237100059940617, -0.0028071782310252658, 0.26996071154408063, 0.009606508674640274, 0.012220640849791888, 0.275601869305521, 0.01742596812216239
202950000, 0.0028913538201871328, -0.0027820774441985776, 0.2699604909406669, 0.00968798280603822, 0.012269235481183194, 0.27560235812581546, 0.017451843790383066
202980000, 0.0029478858126431376, -0.0027906705913122373, 0.2699595859734703, 0.009745892148056517, 0.012289566205092757, 0.2755965473299379, 0.017475747918366077
203010000, 0.00297907484479756, -0.0028331596944290998, 0.26995819098289675, 0.009715277740729833, 0.012206997285082226, 0.2756006272199317, 0.01741895054567051
203050000, 0.0028572283063075478, -0.002777978863182054, 0.2699607518219053, 0.00955438417349766, 0.012150200298385254, 0.27562043882845433, 0.017312841673202902
203080000, 0.002688404057420196, -0.0028409736155394936, 0.26996181842296785, 0.00937115628504015, 0.01214618729830786, 0.27562030612345634, 0.017357783632995685
203110000, 0.002602900810669357, -0.0029373650978436385, 0.2699616796413194, 0.00918826760133798, 0.012121746065333568, 0.2756320676875639, 0.01738669564315088
203150000, 0.0024389059938755542, -0.002991356921551157, 0.26996308968510896, 0.009119018527757539, 0.012004293262017345, 0.2756418100369974, 0.017370702136880852
203180000, 0.0024304704997988877, -0.0030278551009390482, 0.26996271182074, 0.009217101317729737, 0.011967608153062664, 0.2756336835121818, 0.01740925604344249
203210000, 0.0026415403053883834, -0.003041951355329092, 0.26996049379463627, 0.009402634775578705, 0.011972474029338327, 0.27562322335244016, 0.01741298004683315
203250000, 0.002853464932621908, -0.002968447705715056, 0.2699583386452055, 0.009820051313589706, 0.012029668351963549, 0.27561316065186137, 0.017477237281963133
203280000, 0.0031758073227189554, -0.003022690226352881, 0.26995293305914225, 0.009924934922942635, 0.01207430865308573, 0.2756063668531763, 0.017476596127203887
203300000, 0.0031131125687446737, -0.0030096692603351176, 0.2699540936879829, 0.009893772270938489, 0.01211470586496996, 0.2756123652011292, 0.01751399741476471
203350000, 0.002919649048163479, -0.0027560073004746703, 0.26995965398237876, 0.009573943807139551, 0.012348988006263058, 0.2756116673455836, 0.017446655181259003
203370000, 0.0025917454795523357, -0.00267513309685247, 0.26996503040995884, 0.009247465005025463, 0.01247328169512097, 0.2756187496442257, 0.01748535427983555
203410000, 0.0024518266053092284, -0.0025870826774865388, 0.269968181706373, 0.009100105383311047, 0.012518582241870732, 0.27561018420133826, 0.01744170047670595
203450000, 0.0026174944203097017, -0.0026531845433702193, 0.2699643688961983, 0.009264541965647383, 0.01237940361313531, 0.27561858001172107, 0.01738194612498817
203480000, 0.0026804300130594035, -0.0027608948080342643, 0.2699631645774731, 0.009428521600914896, 0.012098969338740495, 0.27562308199383784, 0.01727388108384323
203510000, 0.0030219191327226446, -0.0030880925405844814, 0.269954016950489, 0.009706877014773962, 0.01197757208510384, 0.27560849165697776, 0.01742515413719023
203550000, 0.003007098720406724, -0.003221257830237108, 0.26995241811123716, 0.009627657216944807, 0.0118103208435505, 0.2756278525951386, 0.017377879871071925
203580000, 0.0028932269749382235, -0.0031922021730525886, 0.2699550211810575, 0.009551756456667448, 0.011854568359985988, 0.2756251124284419, 0.017403771231737107
203610000, 0.0028026471459489588, -0.003073203192888688, 0.2699576084495266, 0.009566894765089706, 0.011970080407839444, 0.2756095072395309, 0.01743557820312936
203650000, 0.002749459352903544, -0.002852192840668135, 0.2699614604186887, 0.00942777714308593, 0.012272169806412485, 0.27561434502877846, 0.017472875504680505
203670000, 0.0027814036079443554, -0.0027540879957602482, 0.2699620349196976, 0.00944701972396017, 0.012289885230617872, 0.27561872844741614, 0.017399705466145228
203700000, 0.0028788836050930647, -0.002699296482476685, 0.2699605631347874, 0.009585499620841514, 0.012343335829188534, 0.27561451810319054, 0.017413405526529806
203750000, 0.0028347623548501664, -0.0027682742003851345, 0.2699613376545894, 0.009466168820934234, 0.012348401146183012, 0.2756193303604048, 0.01744999446163302
203770000, 0.0027605207890005826, -0.002832107462660151, 0.269961164105641, 0.009475738903120368, 0.01228606718459891, 0.2756168102979693, 0.01748255395638825
203810000, 0.002698953777695609, -0.0028150156746719474, 0.2699620438869393, 0.009359714373039618, 0.012279607191122435, 0.2756195006592284, 0.017441908963739323
203850000, 0.002688358995958985, -0.0028801464123537415, 0.26996145126291904, 0.00931636995708171, 0.012206363529518538, 0.27562143530462246, 0.017423223894541207
203880000, 0.0027266647776187916, -0.002834280596763089, 0.2699614641715945, 0.009433946207747096, 0.012206211204640702, 0.27561990472866815, 0.01741326986378419
203910000, 0.002743369894704363, -0.002806931897026738, 0.26996180956277543, 0.009397690886277704, 0.01208541128305371, 0.27562378657971703, 0.01726614771721119
203940000, 0.002814339239503851, -0.003038548193026108, 0.2699585170645128, 0.009521851967495581, 0.011967784307345096, 0.27561146160911076, 0.017382074793653605
203980000, 0.0030131227680244297, -0.0031866424742965724, 0.2699530461868723, 0.009659608909748041, 0.011933817911095199, 0.27560678781985465, 0.017457631418690323
204010000, 0.002860065721621805, -0.0030752779487303815, 0.2699573483923956, 0.009581295719146066, 0.012013867059640235, 0.2755970741943351, 0.01745461935661497
204040000, 0.0027931447767403166, -0.002984148759831529, 0.2699590286059332, 0.00950909207461395, 0.012122376850981761, 0.2756093331739747, 0.017471033336629083
204080000, 0.0027909114310400106, -0.0027803190803739495, 0.26996132965640207, 0.009390411924227932, 0.01233693951817623, 0.27561915968891804, 0.017438347254595733
204110000, 0.002689683172839605, -0.002736778951840067, 0.2699631170098737, 0.009305340247862198, 0.01238392479593381, 0.27562220376853014, 0.017447861281665446
204150000, 0.0027645708710319497, -0.002638777081697188, 0.26996282307412806, 0.009427902921766734, 0.01251274548010492, 0.2756150935204684, 0.01749047715637628
204180000, 0.002745132232049566, -0.002653585903734322, 0.26996317948611726, 0.009418621926762849, 0.012388630623448776, 0.27561630779358715, 0.017400046046399477
204200000, 0.0027695463949436185, -0.0028717193447325836, 0.269960835813737, 0.009468053932329357, 0.01226804720247493, 0.2756189313168377, 0.017495615995287667
204250000, 0.0028706473053170863, -0.0028862129276223582, 0.2699593487942869, 0.009664109675258437, 0.012128823449915685, 0.2755975558801273, 0.017418146501089627
204280000, 0.0029596333939632936, -0.003038479184907166, 0.26995620376276863, 0.009694045676055113, 0.012060373479814812, 0.2755974030161306, 0.01746856575658983
204310000, 0.003041391215600577, -0.003074835033966684, 0.2699543923838141, 0.009739810502859797, 0.012043896479200164, 0.27560559167844345, 0.017475151415160046
204350000, 0.00285686103798944, -0.0030823059002166226, 0.2699565209026587, 0.009423830624019858, 0.01196068446196373, 0.27561760196977997, 0.017362732717778568
204370000, 0.002616192799925678, -0.0030305013593750307, 0.2699604479094804, 0.0092344562490429, 0.01199879112345592, 0.2756343054971671, 0.01737451304473739
204410000, 0.0022394516431975416, -0.003118174450012492, 0.26996390459178304, 0.008780477454901098, 0.011980866935479957, 0.2756431785408652, 0.017407476038154093
204450000, 0.002226330686888558, -0.003023650582462614, 0.2699651166036222, 0.00879840043856897, 0.012110000757066447, 0.27564227320885926, 0.017448484484555354
204480000, 0.002360343798272449, -0.002969430471104842, 0.26996415219002023, 0.009089337606827258, 0.012304610789399248, 0.2756086782018935, 0.017619204522391588
204490000, 0.002573911764583213, -0.0028769696679194837, 0.26996251629521595, 0.009200603568262106, 0.012260652069233081, 0.27562359560921135, 0.017467353981568172
204540000, 0.0032659670772170893, -0.002636385889159241, 0.26995617784014936, 0.00994745862321339, 0.012461147628537936, 0.2755859733665059, 0.01744340692828652
204580000, 0.0034831916894454435, -0.002677367872265633, 0.2699523664496755, 0.010174067196269315, 0.012456932971908405, 0.27557932854350997, 0.017477916909495603
204600000, 0.0034072364939898583, -0.0027305055597318505, 0.2699531002840744, 0.010118737330251204, 0.012419149488610053, 0.2755769068635021, 0.017498099668298347
204650000, 0.0030360493901407737, -0.0029423886909483903, 0.2699563950026095, 0.00969200873005735, 0.012148107574994363, 0.2755942894162192, 0.017430167116412473
204680000, 0.002921192703761447, -0.0030029300898122505, 0.26995736066482934, 0.009512941293802257, 0.012036523219307836, 0.27560685985091105, 0.0173652856689732
204710000, 0.002753927246227203, -0.0031064435840080008, 0.2699582242065251, 0.009349836848768028, 0.011957309482675496, 0.27563190505039936, 0.017395784956622466
204740000, 0.0026491904342349016, -0.0031138576700504633, 0.26995902091842977, 0.009243114059547752, 0.01191464558530591, 0.2756474835906621, 0.0173693507779104
204790000, 0.002621474987472618, -0.0030343260543733777, 0.2699604347855677, 0.009168655811475773, 0.012024417261715166, 0.2756349663287556, 0.01737330236992008
204810000, 0.0025436820263224644, -0.003012162644610519, 0.269961586585569, 0.00914788513848011, 0.012076679222602076, 0.2756274974938183, 0.01741812831680255
204840000, 0.0024555289469256614, -0.002936705586643386, 0.26996363815401453, 0.009048865391285438, 0.012200034722262804, 0.2756188323618079, 0.017452054726468397
204880000, 0.0024703651999721846, -0.0029336809293329207, 0.26996331850401745, 0.009187184094017642, 0.012371191485021929, 0.27561660511048924, 0.01764410454316114
204890000, 0.0026193090632737584, -0.0027345225779840878, 0.26996391718266977, 0.009252976589766704, 0.012382428597687817, 0.27561933199876565, 0.017450257145435195
