timestamp, x, y, z, x_ref, y_ref, z_ref, err, q_0, q_1, q_2, q_3, p_0, p_1, p_2, p_3, p_4, p_5
0.04, 0.03522640389668762, 0.032743360867708696, -0.2594317064364631, 0.02, 0.02, -0.25, 0.021981667546692934, 0.14115940131364288, -0.1311891224429479, 0.14894590797958124, -0.060961820257870565, 152.81434710290773, 0, 132.5208931289471, 135.23655331487157, 0, 104.24651717776192
0.08, 0.03320174708245174, 0.03357773317419891, -0.2594105236290738, 0.09, -0.01, -0.215, 0.08424580091669838, 0.1685577688520299, -0.15164869228702754, 0.127926643370794, -0.06856960244549713, 158.0555161164785, 0, 112.70056751629218, 141.87623072287903, 0, 86.07802223842027
0.13, 0.024585733442332912, 0.03143886741863711, -0.26121204891874966, 0.09, -0.01, -0.215, 0.09017626887094973, 0.1580506941387457, -0.15870972669027797, 0.11492147461482355, -0.08282098895361063, 165.40237083979957, 0, 95.21116875992016, 151.2575073181834, 0, 70.17834668990409
0.18, 0.01363457737634922, 0.025967635972022448, -0.2633272426250471, 0.09, -0.01, -0.215, 0.09726700874214692, 0.12285271745163939, -0.14433088535928826, 0.0961868961212881, -0.06960569939546384, 175.1734517242329, 0, 79.55453533287101, 163.19765257367408, 0, 55.62624751811363
0.23, 0.007473337785614675, 0.020282076130753113, -0.2644715885284415, 0.09, -0.01, -0.215, 0.10087166194012769, 0.08575752336984065, -0.12327025689542156, 0.04429777416453856, -0.051356194471677614, 187.14152293103945, 0, 65.01196080489557, 177.0423095394042, 0, 41.61106243137435
0.28, 0.01014969845666185, 0.01708995887814108, -0.26455749728689115, 0.09, -0.01, -0.215, 0.09780532739028908, 0.06975640777329242, -0.10232484072368989, 0.034511670283110044, -0.04928600082291614, 200.79585148711004, 0, 50.957917714110096, 183.61242939514344, 7.669545006876177, 0
0.33, 0.020551185666093454, 0.015418226430505574, -0.2633275703409061, 0.09, -0.01, -0.215, 0.0883446551994692, 0.07947926722049867, -0.09525051256317886, 0.08111260733995528, -0.028936877635672112, 199.87248249998953, 0.33894359845950817, 0, 215.1204126450497, 30.713753657720922, 0
0.38, 0.03236130237332351, 0.012677830278418815, -0.2615499796854736, 0.09, -0.01, -0.215, 0.07748163691452457, 0.11601084679580746, -0.09789448728390669, 0.1290531280505851, 0.008233138093265662, 231.38362274868865, 23.40640145317971, 0, 246.6254375313602, 53.755018264239, 0
0.43, 0.04052190307183804, 0.006203489063038435, -0.25998137924488485, 0.09, -0.01, -0.215, 0.06880377614797573, 0.1616873340075889, -0.0827458456065348, 0.15924767304176293, 0.01025630914103641, 262.8971325900834, 46.478424289662996, 0, 278.1337916843334, 76.80456737225995, 0
0.49, 0.0421910983756678, -0.006954665149728635, -0.2608768287952671, 0.09, -0.01, -0.215, 0.0663298466693961, 0.1851196874392274, -0.04636825166721147, 0.2167340584137121, 0.006799268789766734, 271.48677325904094, 23.667540169240766, 0, 309.675224465565, 99.89842185084026, 0
0.54, 0.037298616850123804, -0.015718378825962255, -0.26218943410246026, 0.09, -0.01, -0.215, 0.07097167275200514, 0.18872188656972708, -0.0002713027165631199, 0.22330074922249182, 0.04684580588209622, 279.96355034954524, 0.628702433208332, 0, 318.2103521238828, 76.98540233895739, 0
0.59, 0.03814852837383018, -0.016277462726579702, -0.26254941049240105, 0.09, -0.01, -0.215, 0.07063234447657779, 0.1787448669448802, 0.032384804485046485, 0.2108911224710436, 0.08804347270589291, 330.05333958003797, 0, 73.05182795470411, 326.7913207677635, 54.16918325381829, 0
0.64, 0.04733312546307473, -0.01282150363749314, -0.26103415020121823, 0.09, -0.01, -0.215, 0.06282965900173604, 0.18076688267304356, 0.036611173593070714, 0.2239091834888456, 0.08259157480164486, 319.9479771447493, 0.6405630900048607, 0, 358.1870913297954, 76.98797993867646, 0
0.69, 0.06141989824212137, -0.004656658156152337, -0.2577706075698812, 0.09, -0.01, -0.215, 0.05171748631215257, 0.2136604310941282, 0.012809585568562175, 0.23955049718772597, 0.07905232150956308, 351.46857578503693, 23.704199234470508, 0, 389.6901502959628, 100.03492067359826, 0
0.73, 0.07074425834830203, 0.00018528261960699326, -0.2543381716797505, 0.09, -0.01, -0.215, 0.04496682465667025, 0.27483383479389467, -0.01629797909495372, 0.31104415546586045, 0.08742335028613098, 382.9605440242637, 46.75369051295172, 0, 421.15887192690485, 123.05407817255927, 0
0.79, 0.07749061564371995, 0.0038719175032408746, -0.25171255879239507, 0.09, -0.01, -0.215, 0.04119134332933231, 0.32058457120863965, -0.047142504502895304, 0.3125288839125695, 0.0716132248197641, 414.43500988431504, 69.80411099943245, 0, 452.6259846186515, 146.08125693313033, 0
0.84, 0.07915632242379828, -0.0020009314149078803, -0.251714663300614, 0.09, -0.01, -0.215, 0.03910929484001315, 0.34002246588489504, -0.05324376472457383, 0.34400966228476043, 0.07321069308251281, 445.95562284350314, 92.8658284068175, 0, 484.1164944248062, 169.10692878130186, 0
0.89, 0.08172041993582622, -0.012482218703345165, -0.2512719810221394, 0.09, -0.01, -0.215, 0.03728765832015655, 0.3440887635832147, -0.03923745837021511, 0.37050244551232586, 0.11282637009651525, 457.7714771918477, 76.5089433810536, 0, 499.31439579124026, 159.53035522311245, 0
0.93, 0.0852628039431954, -0.02060519324423597, -0.24936829452897122, 0.09, -0.01, -0.215, 0.0362779660270295, 0.3514039756527642, -0.003524837821217535, 0.3864400692579131, 0.18676276471889927, 466.21593660360287, 53.463593688325034, 0, 507.77473766433815, 136.5369959462006, 0
0.99, 0.09414060167353913, -0.03467440391856071, -0.24352795746798644, 0.09, -0.01, -0.215, 0.03794489620819173, 0.3682954880410654, 0.0416173891256908, 0.4238764827155747, 0.168615141343966, 474.63038030637813, 30.41375060674551, 0, 516.2035583126669, 113.52985102245958, 0
1.04, 0.10457359138262569, -0.038598461422131, -0.23745725252324754, 0.09, -0.01, -0.215, 0.03917384015377819, 0.40743738955253583, 0.07481100055683672, 0.46304810642252575, 0.18288306940357743, 443.35246534166004, 7.333876986335383, 0, 484.67294874505507, 90.46914273989044, 0
1.09, 0.11458904065073137, -0.03590686395392742, -0.23176534216433856, 0.09, -0.01, -0.215, 0.039457106051229505, 0.4553471743626623, 0.0945159395215283, 0.46689468000912726, 0.20301426489787755, 500.69749149348456, 0, 97.79909676967827, 492.9084105348382, 67.45522800977432, 0
