timestamp, x, y, z, x_ref, y_ref, z_ref, err, q_0, q_1, q_2, q_3, p_0, p_1, p_2, p_3, p_4, p_5
0.01, 0.0005918328809217106, -0.009144050088512464, -0.26211813548533386, 0.02, 0.02, -0.25, 0.03705268970162224, 0.007773199158491369, 0.03408959091748782, 0.02415917097275018, 0.04517423652254581, 88.52999494116195, 0, 63.1934664380575, 88.29058011962029, 0, 63.05510880231827
0.08, 0.0016441315549684146, -0.004483151285823577, -0.2626170858707939, 0.09, 0, -0.215, 0.10047011994097485, 0.011809316420703245, 0.025452665143354054, 0.023428778820048853, 0.04607439244016946, 101.19888673730091, 0, 72.22529020627064, 100.9423375278798, 0, 72.06653262740313
0.15, 0.0065878167856115895, -0.0001722718943516496, -0.2628280916076797, 0.09, 0, -0.215, 0.09615169438459671, 0.02276666996797518, 0.01633956964987447, 0.012334231043829047, 0.017601977047403048, 113.86583914124365, 0, 81.2542629725816, 113.5900437349167, 0, 81.07190505721496
0.21, 0.012842384187848086, 0.0005383352947785748, -0.26275750096446365, 0.08929036492295621, 0.011279660097951087, -0.215, 0.09077691730486037, 0.0454182323674605, 0.0018030555908180605, 0.02562332119269898, 0.003392434849312242, 126.53576845786155, 0, 90.28930037795413, 126.2449549895507, 0, 90.09109731777191
0.27, 0.01744766744827156, -0.0004168442637815364, -0.2628344566160826, 0.08929036492295621, 0.011279660097951087, -0.215, 0.08709946403095131, 0.07260171885935458, -0.003195316881598301, 0.046533475149080815, 0.010160327917139183, 139.20617196121873, 0, 99.32552110916897, 138.90078917786752, 0, 99.11257127137128
0.34, 0.018808734446588538, 7.356037055234339e-05, -0.2627673122983624, 0.08717265040165978, 0.022381443696732457, -0.215, 0.08633065960257569, 0.08958283118925713, 0.0007095037330863276, 0.05979952421745734, 0.00196021725685748, 151.87780764360437, 0, 108.36436245198882, 151.55959664151214, 0, 108.14007162938282
0.41, 0.017720422273640464, 0.00221185604037787, -0.26332260038593613, 0.08717265040165978, 0.022381443696732457, -0.215, 0.08697987104056136, 0.08690495484321918, -0.004162976161585049, 0.06675617102419193, 0.0061648604785270655, 164.54982354302007, 0, 117.40286700029633, 164.21893153850223, 0, 117.16687042965425
0.48, 0.018086959891236647, 0.005845920243621235, -0.26350931188360804, 0.08368025209183239, 0.03313027935057868, -0.215, 0.08602365705438998, 0.08360471770121819, -0.013809331415802449, 0.0640488459601829, 0.002857273342308644, 177.22693226597556, 0, 126.44708139583642, 176.88392761941577, 0, 126.20127463012088
0.55, 0.021545423500991506, 0.009560751058689112, -0.26330679862831713, 0.08368025209183239, 0.03313027935057868, -0.215, 0.0821572052934625, 0.08786704465135747, -0.027265579776105966, 0.06549542890084037, -0.010178872028768528, 189.89810748510126, 0, 135.4858890427585, 189.54214352642464, 0, 135.2291607041101
0.62, 0.02482990955231195, 0.011684819711138774, -0.26299898018279805, 0.07886824395666654, 0.0433566614857709, -0.215, 0.07891228830279114, 0.09920606725345868, -0.03746239395763426, 0.08015770297433371, -0.03107478606387117, 202.56765534753367, 0, 144.52585187860723, 202.19800968648556, 0, 144.25960903187945
