i,kqg0,kqg1,p0,p1,p2
0,1.4148135367552321,-2.7461785850875735,9.199175590375539,0,0
1,1.449557471540843,-2.8000594388147766,9.198387474913151,0.12041347068323838,0
2,1.444910509647812,-2.7712461610209593,9.19602326356548,0.2408063091441232,0
3,1.4223031379222855,-2.759189217331029,9.192083361427851,0.36115788669552495,0
4,1.4271503667243872,-2.786042288622677,9.186568443582019,0.48144758172015645,0
5,1.3298125230881381,-2.8139563440044406,9.17947945498049,0.60165478320398,0
6,1.320634312198686,-2.7997307825109394,9.170817610284617,0.7217588942677975,0
7,1.1315417365388278,-3.0061778798518866,9.160584393656471,0.8417393356964176,0
8,1.235495171605055,-2.808628919059052,9.148781558504533,0.9615755494647996,0
9,1.1472081820635947,-2.820990574410024,9.135411127183257,1.0812470022605614,0
10,1.1420142468931318,-2.824700274704214,9.120475390646563,1.2007331890022583,0
11,1.0582325242714723,-2.8526346259893107,9.103976908055278,1.32001363635282,0
12,1.0593841996622495,-2.8369921892843175,9.08591850633864,1.439067906227553,0
13,0.9822420706839023,-2.8537227485019336,9.066303279709926,1.5578755992960966,0
14,0.968058432690893,-2.8500024119834784,9.04513458913627,1.6764163584777472,0
15,0.8828066263898889,-2.8678974052487574,9.022416061762776,1.7946698724295316,0
16,0.875143586878659,-2.857344374314204,8.99815159029103,1.9126158790264574,0
17,0.7912332727080307,-2.8658001134295747,8.972345332312107,2.0302341688333168,0
18,0.782220211279943,-2.8593172845380397,8.945001709594179,2.1475045885674717,0
19,0.7029391469944142,-2.8658980785316643,8.916125407324884,2.264407044552012,0
20,0.5711863518007091,-3.0837178083066275,8.885721373308535,2.3809215061587063,0
21,0.44678405901693136,-3.0456845675715063,8.853794817118327,2.497028009240139,0
22,0.5241718360679954,-2.8013210432010793,8.820351209203734,2.6127066595504704,0
23,0.4408943137053145,-2.817901404218438,8.785396279953144,2.72793763615421,0
24,0.4645801740642043,-2.8039122910918333,8.748936018712005,2.8427011948224266,0
25,0.32002592144160974,-2.7410021762737022,8.710976672756585,2.956977671415826,0
26,0.3155798208363003,-2.7550346210516814,8.671524746223513,3.0707474852540946,0
