t,x_t1,y_t1,z_t1,x_t2,y_t2,z_t2,x_fk,y_fk,z_fk,q0,q1,q2,q3,p0,p1,p2,p3,p4,p5,tau1,tau2,tau3,tau4
0.16,0.051647,-0.0043319,0.146314,0.136087,-0.0250869,0.24062,-0.0961459,-0.0170592,-0.249427,-0.207166,0.375812,-0.095035,0.451448,1.66933,567.551,630.78,1.66933,567.551,630.78,0,0,0,0,
0.166667,0.0516681,-0.00430595,0.146308,0.136162,-0.0249488,0.240594,-0.0962002,-0.0169795,-0.249405,-0.20644,0.376007,-0.0936764,0.451588,1.81123,566.166,632.022,1.81123,566.166,632.022,0,0,0,0,
0.173333,0.0516892,-0.00427797,0.146302,0.13624,-0.0247991,0.240567,-0.0962559,-0.016896,-0.249383,-0.205632,0.376207,-0.092382,0.451724,1.95891,564.78,633.261,1.95891,564.78,633.261,0,0,0,0,
0.18,0.0517115,-0.00424897,0.146296,0.136324,-0.0246371,0.240539,-0.0963118,-0.0168051,-0.24936,-0.204835,0.376383,-0.0908152,0.451938,2.11235,563.39,634.497,2.11235,563.39,634.497,0,0,0,0,
0.186667,0.0517338,-0.00421789,0.14629,0.136412,-0.0244594,0.240509,-0.0963674,-0.0167076,-0.249338,-0.204027,0.376554,-0.089043,0.452151,2.27157,561.999,635.729,2.27157,561.999,635.729,0,0,0,0,
0.193333,0.0517561,-0.00418503,0.146284,0.136505,-0.0242795,0.240478,-0.0964222,-0.0166053,-0.249318,-0.203147,0.37674,-0.0872747,0.452275,2.43656,560.605,636.958,2.43656,560.605,636.958,0,0,0,0,
0.2,0.0517781,-0.00415029,0.146279,0.136602,-0.0240897,0.240443,-0.096485,-0.0164941,-0.249293,-0.202128,0.376945,-0.085502,0.452464,2.6073,559.209,638.184,2.6073,559.209,638.184,0,0,0,0,
0.206667,0.0518005,-0.00411399,0.146272,0.136702,-0.0238951,0.240405,-0.0965528,-0.0163708,-0.249267,-0.201027,0.377154,-0.0834907,0.452706,2.78382,557.81,639.406,2.78382,557.81,639.406,0,0,0,0,
0.213333,0.0518242,-0.0040752,0.146266,0.136801,-0.0236934,0.240369,-0.0966298,-0.0162488,-0.249233,-0.19982,0.377381,-0.0817646,0.453065,2.96609,556.41,640.624,2.96609,556.41,640.624,0,0,0,0,
0.22,0.051849,-0.00403331,0.146259,0.136907,-0.0234851,0.240329,-0.0967002,-0.0161204,-0.249206,-0.198565,0.377614,-0.0799447,0.453249,3.15412,555.007,641.839,3.15412,555.007,641.839,0,0,0,0,
0.226667,0.0518762,-0.00398808,0.146252,0.137014,-0.0232747,0.240287,-0.0967768,-0.0159813,-0.249177,-0.197203,0.377872,-0.0779758,0.453437,3.3479,553.601,643.051,3.3479,553.601,643.051,0,0,0,0,
0.233333,0.0519048,-0.00394073,0.146244,0.137123,-0.0230657,0.240244,-0.096855,-0.0158348,-0.249147,-0.19576,0.378133,-0.0759469,0.453633,3.54744,552.194,644.259,3.54744,552.194,644.259,0,0,0,0,
0.24,0.0519347,-0.00389158,0.146235,0.137231,-0.022857,0.2402,-0.0969365,-0.0156837,-0.249116,-0.194132,0.378415,-0.074199,0.453784,3.75272,550.784,645.463,3.75272,550.784,645.463,0,0,0,0,
0.246667,0.0519666,-0.00383959,0.146226,0.137344,-0.0226378,0.240154,-0.0970142,-0.0155195,-0.249088,-0.192541,0.378673,-0.0719269,0.453935,3.96375,549.372,646.664,3.96375,549.372,646.664,0,0,0,0,
0.253333,0.0520018,-0.00378396,0.146216,0.137459,-0.0224161,0.240108,-0.0970957,-0.0153524,-0.249058,-0.190879,0.378946,-0.0697116,0.454099,4.18053,547.958,647.861,4.18053,547.958,647.861,0,0,0,0,
0.26,0.0520394,-0.00372712,0.146205,0.137575,-0.0221925,0.240055,-0.097178,-0.0151864,-0.249026,-0.189227,0.379199,-0.0675395,0.454364,4.40304,546.542,649.055,4.40304,546.542,649.055,0,0,0,0,
0.266667,0.052078,-0.00366705,0.146194,0.137691,-0.0219724,0.240001,-0.0972631,-0.0150273,-0.248992,-0.187497,0.379469,-0.0658013,0.45463,4.63129,545.123,650.245,4.63129,545.123,650.245,0,0,0,0,
0.273333,0.0521176,-0.00360577,0.146181,0.137803,-0.0217691,0.239949,-0.0973486,-0.0148785,-0.248956,-0.185774,0.379731,-0.064432,0.454957,4.86527,543.703,651.432,4.86527,543.703,651.432,0,0,0,0,
0.28,0.0521605,-0.00354303,0.146168,0.137916,-0.0215787,0.239896,-0.0974293,-0.0147412,-0.248921,-0.184184,0.379983,-0.0631672,0.455262,5.10498,542.28,652.614,5.10498,542.28,652.614,0,0,0,0,
0.286667,0.0522037,-0.00347813,0.146155,0.138026,-0.0213941,0.239845,-0.09753,-0.014587,-0.248875,-0.182488,0.380295,-0.0614869,0.455732,5.35042,540.856,653.794,5.35042,540.856,653.794,0,0,0,0,
0.293333,0.0522472,-0.00341418,0.146141,0.138141,-0.0212198,0.239795,-0.0976151,-0.0144451,-0.24884,-0.18085,0.380602,-0.0601364,0.455927,5.60158,539.429,654.969,5.60158,539.429,654.969,0,0,0,0,
0.3,0.0522921,-0.00335174,0.146127,0.138257,-0.0210523,0.239743,-0.0976955,-0.0143069,-0.248807,-0.179334,0.38089,-0.0586396,0.45612,5.85846,538,656.141,5.85846,538,656.141,0,0,0,0,
0.306667,0.0523351,-0.00329053,0.146113,0.138371,-0.0208911,0.23969,-0.0977841,-0.0141699,-0.248769,-0.177762,0.381226,-0.0572834,0.45631,6.12106,536.57,657.309,6.12106,536.57,657.309,0,0,0,0,
0.313333,0.0523785,-0.00323263,0.146099,0.138488,-0.0207348,0.239633,-0.0978692,-0.0140341,-0.248733,-0.176254,0.381549,-0.0558346,0.456492,6.38937,535.137,658.473,6.38937,535.137,658.473,0,0,0,0,
0.32,0.0524204,-0.00317698,0.146086,0.138602,-0.0205847,0.239574,-0.0979572,-0.0139015,-0.248695,-0.174763,0.38189,-0.0544449,0.456678,6.66338,533.703,659.634,6.66338,533.703,659.634,0,0,0,0,
0.326667,0.052461,-0.00312378,0.146072,0.138718,-0.0204378,0.239516,-0.0980556,-0.0137592,-0.248651,-0.173211,0.382265,-0.0528242,0.456943,6.9431,532.266,660.791,6.9431,532.266,660.791,0,0,0,0,
0.333333,0.0525005,-0.00307375,0.146059,0.138827,-0.0203095,0.239461,-0.0981528,-0.0136228,-0.248608,-0.171694,0.382645,-0.0513391,0.457182,7.22852,530.828,661.944,7.22852,530.828,661.944,0,0,0,0,
0.34,0.0525398,-0.00302635,0.146046,0.138944,-0.020178,0.239398,-0.0982521,-0.013477,-0.248563,-0.170246,0.383005,-0.0493633,0.457539,7.51963,529.387,663.093,7.51963,529.387,663.093,0,0,0,0,
0.346667,0.0525791,-0.00298074,0.146033,0.13906,-0.0200488,0.239334,-0.098357,-0.0133295,-0.248514,-0.168822,0.383391,-0.0472503,0.457929,7.81644,527.945,664.238,7.81644,527.945,664.238,0,0,0,0,
0.353333,0.0526177,-0.00293741,0.14602,0.139176,-0.0199233,0.23927,-0.0984573,-0.0131899,-0.248467,-0.167412,0.383775,-0.0453989,0.458249,8.11893,526.501,665.38,8.11893,526.501,665.38,0,0,0,0,
0.36,0.052656,-0.00289678,0.146007,0.13929,-0.0198021,0.239206,-0.09856,-0.0130495,-0.248418,-0.166049,0.384148,-0.0434182,0.458666,8.4271,525.055,666.518,8.4271,525.055,666.518,0,0,0,0,
0.366667,0.052694,-0.00285794,0.145993,0.139404,-0.0196858,0.239141,-0.0986587,-0.0129162,-0.248371,-0.164734,0.384511,-0.041594,0.459062,8.74096,523.607,667.652,8.74096,523.607,667.652,0,0,0,0,
0.373333,0.0527315,-0.00281999,0.145979,0.139514,-0.0195799,0.239077,-0.0987586,-0.0127843,-0.248323,-0.163363,0.384885,-0.0399602,0.459437,9.06048,522.158,668.782,9.06048,522.158,668.782,0,0,0,0,
0.38,0.0527688,-0.0027829,0.145964,0.139623,-0.0194755,0.239012,-0.0988555,-0.0126533,-0.248276,-0.162021,0.385236,-0.0383129,0.459842,9.38568,520.706,669.908,9.38568,520.706,669.908,0,0,0,0,
0.386667,0.0528058,-0.00274594,0.145949,0.139729,-0.0193744,0.238949,-0.0989526,-0.012518,-0.248229,-0.160619,0.385592,-0.036673,0.460224,9.71654,519.253,671.03,9.71654,519.253,671.03,0,0,0,0,
0.393333,0.0528427,-0.00270904,0.145934,0.13983,-0.0192771,0.238888,-0.0990479,-0.0123814,-0.248183,-0.159216,0.385935,-0.0350082,0.460617,10.0531,517.798,672.148,10.0531,517.798,672.148,0,0,0,0,
0.4,0.0528791,-0.00267082,0.145918,0.139928,-0.0191829,0.238828,-0.0991391,-0.0122495,-0.24814,-0.157735,0.386279,-0.033721,0.460918,10.3952,516.342,673.263,10.3952,516.342,673.263,0,0,0,0,
0.406667,0.0529159,-0.00263131,0.145902,0.140024,-0.0190936,0.238771,-0.0992391,-0.0120914,-0.248093,-0.156155,0.386639,-0.0317404,0.461312,10.7431,514.884,674.373,10.7431,514.884,674.373,0,0,0,0,
0.413333,0.0529518,-0.00258997,0.145887,0.140117,-0.0190096,0.238717,-0.0993427,-0.0119271,-0.248044,-0.154453,0.387025,-0.0298391,0.461666,11.0965,513.424,675.479,11.0965,513.424,675.479,0,0,0,0,
0.42,0.0529869,-0.00254617,0.145872,0.140204,-0.0189229,0.238665,-0.0994466,-0.011755,-0.247996,-0.152687,0.387406,-0.0278362,0.462036,11.4556,511.962,676.582,11.4556,511.962,676.582,0,0,0,0,
0.426667,0.0530196,-0.00249861,0.145857,0.140284,-0.0188356,0.238616,-0.0995563,-0.0115703,-0.247945,-0.150693,0.38782,-0.0259442,0.462363,11.8204,510.499,677.68,11.8204,510.499,677.68,0,0,0,0,
0.433333,0.0530513,-0.0024474,0.145843,0.140358,-0.0187427,0.23857,-0.0996514,-0.0113871,-0.2479,-0.148734,0.388126,-0.024131,0.462794,12.1907,509.035,678.775,12.1907,509.035,678.775,0,0,0,0,
0.44,0.0530808,-0.00239051,0.145829,0.140429,-0.018631,0.238525,-0.0997561,-0.011192,-0.24785,-0.146561,0.388456,-0.0224315,0.463301,12.5667,507.568,679.865,12.5667,507.568,679.865,0,0,0,0,
0.446667,0.0531089,-0.00232775,0.145817,0.140494,-0.0185112,0.238485,-0.0998612,-0.0109808,-0.2478,-0.144181,0.388783,-0.0207034,0.463793,12.9483,506.1,680.951,12.9483,506.1,680.951,0,0,0,0,
0.453333,0.0531346,-0.0022598,0.145805,0.140554,-0.0183748,0.238449,-0.0999597,-0.0107622,-0.247753,-0.141693,0.389066,-0.0190371,0.464292,13.3356,504.631,682.033,13.3356,504.631,682.033,0,0,0,0,
0.46,0.0531561,-0.00218371,0.145795,0.140605,-0.0182151,0.238418,-0.100048,-0.0105214,-0.247711,-0.13905,0.389246,-0.0170827,0.464921,13.7284,503.16,683.111,13.7284,503.16,683.111,0,0,0,0,
0.466667,0.0531745,-0.00209823,0.145786,0.140649,-0.0180243,0.238395,-0.100135,-0.0102602,-0.247672,-0.136066,0.389434,-0.0152757,0.465441,14.1268,501.688,684.185,14.1268,501.688,684.185,0,0,0,0,
0.473333,0.0531897,-0.00200465,0.145779,0.140683,-0.0177905,0.238383,-0.100209,-0.00998264,-0.247641,-0.13283,0.389553,-0.0136012,0.465912,14.5309,500.214,685.255,14.5309,500.214,685.255,0,0,0,0,
0.48,0.0531994,-0.00190461,0.145773,0.140705,-0.0175147,0.238383,-0.100258,-0.00969171,-0.247622,-0.129457,0.389499,-0.0119463,0.466458,14.9405,498.738,686.321,14.9405,498.738,686.321,0,0,0,0,
0.486667,0.0532042,-0.00179283,0.14577,0.14071,-0.0171843,0.2384,-0.100285,-0.00938094,-0.247613,-0.125903,0.389292,-0.0101745,0.46709,15.3557,497.262,687.382,15.3557,497.262,687.382,0,0,0,0,
0.493333,0.0532036,-0.0016666,0.145768,0.140695,-0.0167894,0.238439,-0.100312,-0.00904752,-0.247609,-0.121952,0.389125,-0.00857316,0.467514,15.7765,495.784,688.44,15.7765,495.784,688.44,0,0,0,0,
0.5,0.0531979,-0.00152862,0.145768,0.140658,-0.0163288,0.238503,-0.100315,-0.00868067,-0.247618,-0.117655,0.388814,-0.00677104,0.467928,16.2028,494.304,689.493,16.2028,494.304,689.493,0,0,0,0,
0.506667,0.0531867,-0.00137461,0.14577,0.140595,-0.0157955,0.238592,-0.100302,-0.00826217,-0.24764,-0.112987,0.388469,-0.00409509,0.468096,16.6347,492.823,690.542,16.6347,492.823,690.542,0,0,0,0,
0.513333,0.0531693,-0.00120027,0.145775,0.140503,-0.0151905,0.238712,-0.100265,-0.00781912,-0.247676,-0.10824,0.387993,-0.000832907,0.468245,17.0722,491.341,691.587,17.0722,491.341,691.587,0,0,0,0,
0.52,0.0531447,-0.00101071,0.14578,0.14038,-0.014513,0.238863,-0.100219,-0.00732404,-0.247721,-0.103154,0.387538,0.0034506,0.468113,17.5152,489.857,692.628,17.5152,489.857,692.628,0,0,0,0,
0.526667,0.0531162,-0.000806275,0.14579,0.140229,-0.013769,0.239043,-0.100154,-0.00679062,-0.24778,-0.0978349,0.387033,0.00849875,0.467777,17.9638,488.372,693.664,17.9638,488.372,693.664,0,0,0,0,
0.533333,0.0530832,-0.000586714,0.145802,0.140051,-0.0129649,0.239255,-0.100062,-0.00619988,-0.247855,-0.0921304,0.38641,0.0145636,0.467315,18.4179,486.886,694.696,18.4179,486.886,694.696,0,0,0,0,
0.54,0.0530472,-0.000352619,0.145819,0.139848,-0.0120827,0.23949,-0.0999444,-0.0055723,-0.247948,-0.0861931,0.385742,0.0213862,0.466531,18.8776,485.399,695.724,18.8776,485.399,695.724,0,0,0,0,
0.546667,0.0530021,-0.000103463,0.145838,0.139623,-0.0111475,0.239746,-0.0998191,-0.00488204,-0.248048,-0.0796554,0.385123,0.0290181,0.465432,19.3427,483.91,696.747,19.3427,483.91,696.747,0,0,0,0,
0.553333,0.052954,0.000153814,0.145862,0.139378,-0.0101488,0.240014,-0.0996424,-0.00413039,-0.248176,-0.0730376,0.384275,0.0386015,0.464215,19.8134,482.42,697.767,19.8134,482.42,697.767,0,0,0,0,
0.56,0.0528953,0.000425171,0.145887,0.139084,-0.00905068,0.240292,-0.0995275,-0.00343086,-0.248252,-0.0658966,0.383494,0.0450174,0.464054,20.2896,480.929,698.781,20.2896,480.929,698.781,0,0,0,0,
0.566667,0.0528307,0.000710878,0.145917,0.138798,-0.00801085,0.240566,-0.0993983,-0.00270129,-0.248334,-0.058247,0.382673,0.0512766,0.463803,20.7713,479.437,699.792,20.7713,479.437,699.792,0,0,0,0,
0.573333,0.0527581,0.00100874,0.14595,0.138514,-0.00692604,0.240831,-0.09925,-0.00192157,-0.248422,-0.0501508,0.381737,0.0582131,0.463669,21.2586,477.943,700.798,21.2586,477.943,700.798,0,0,0,0,
0.58,0.0526755,0.00132286,0.145987,0.138232,-0.00586543,0.241086,-0.0990848,-0.00110482,-0.248517,-0.0417931,0.380777,0.0659093,0.463409,21.7513,476.449,701.8,21.7513,476.449,701.8,0,0,0,0,
0.586667,0.0525835,0.00165257,0.146026,0.13796,-0.00481816,0.241328,-0.0988989,-0.00024843,-0.248617,-0.0325867,0.379674,0.0729256,0.463315,22.2494,474.953,702.798,22.2494,474.953,702.798,0,0,0,0,
0.593333,0.052483,0.00199607,0.14607,0.137694,-0.00378633,0.241559,-0.0986936,0.000618304,-0.248724,-0.0231139,0.378525,0.0797759,0.463127,22.7531,473.456,703.791,22.7531,473.456,703.791,0,0,0,0,
0.6,0.0523748,0.00235205,0.146114,0.137439,-0.00276743,0.241776,-0.098481,0.00149394,-0.248826,-0.0128832,0.377278,0.0851224,0.463226,23.2622,471.958,704.779,23.2622,471.958,704.779,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.606667,0.0522616,0.00272522,0.146156,0.137185,-0.00174948,0.241982,-0.0982837,0.00242341,-0.248915,-0.00130067,0.376147,0.0891672,0.463335,23.7768,470.459,705.764,23.7768,470.459,705.764,0,0,0,0,
0.613333,0.052149,0.00310778,0.146198,0.136949,-0.000747409,0.24217,-0.0980779,0.00335045,-0.249004,0.0103901,0.375028,0.0930245,0.463414,24.2969,468.96,706.743,24.2969,468.96,706.743,0,0,0,0,
0.62,0.0520356,0.00350001,0.146238,0.136727,0.000227352,0.242342,-0.0978778,0.00427081,-0.249088,0.0222067,0.374032,0.096508,0.463363,24.8224,467.459,707.719,24.8224,467.459,707.719,0,0,0,0,
0.626667,0.0519272,0.00389755,0.146276,0.136524,0.00119479,0.242499,-0.0976969,0.00516758,-0.24916,0.0338355,0.373239,0.099761,0.463154,25.3533,465.957,708.69,25.3533,465.957,708.69,0,0,0,0,
0.633333,0.0518244,0.00428675,0.146309,0.136333,0.00215321,0.242641,-0.0975188,0.00605926,-0.249226,0.045763,0.372491,0.102197,0.463015,25.8897,464.454,709.656,25.8897,464.454,709.656,0,0,0,0,
0.64,0.0517316,0.00467134,0.14634,0.136161,0.00310081,0.242763,-0.0973558,0.00695017,-0.249283,0.0571656,0.37197,0.106002,0.462603,26.4315,462.95,710.618,26.4315,462.95,710.618,0,0,0,0,
