timestamp, x, y, z, x_ref, y_ref, z_ref, err, q_0, q_1, q_2, q_3, p_0, p_1, p_2, p_3, p_4, p_5
, -0.021083109577666893, -0.007704766375203033, 0.2590403434974917, 0.02, 0.02, -0.25, 0.5114464265986415, 0.02333358258578474, -0.0054897833331008965, -0.012631576654187127, 0.018383727356491474, 90.973857417731, 0, 64.59583928550083, 0, 58.03569098319284, 4.301889893183201
0.08, -0.02570915263896296, -0.004598384685371618, 0.25901843801875757, 0.09, 0, -0.215, 0.48795822846621223, 0.04811071375698876, -0.006017680814387196, -0.023043880293919992, 0.018903717847959335, 102.18290810621593, 0, 69.54364094366989, 0, 47.262586548186775, 0.08771513048273327
0.14, -0.02448368087425612, -0.002032218215006178, 0.2591343884538684, 0.09, 0, -0.215, 0.4877643502880419, 0.05878642367243967, -0.03207094086399937, -0.014515165079158681, 0.042549055271273936, 113.89869795202421, 0, 77.02883017329441, 3.6979971730241576, 40.492417953378244, 0
0.21, -0.020774317650113353, -0.0013254442590996914, 0.2595972313627068, 0.08988633279809848, 0.004521855383521715, -0.215, 0.4873628037590462, 0.04997015619745726, -0.04416770755175798, -0.018281882514525578, 0.038920429516940615, 127.09788713827734, 0, 86.93090643367344, 4.616447413098177, 30.031468777319112, 0
0.28, -0.02074345741323218, -0.0028124176301905766, 0.25978612002303336, 0.08988633279809848, 0.004521855383521715, -0.215, 0.4875598443364352, 0.03976902900405637, -0.042089157575120696, -0.023118880721549447, 0.03890294072731358, 139.28571954395068, 0, 95.19260650479848, 5.2275958353731955, 19.412718236219074, 0
0.34, -0.02553801392582329, -0.0029512339679099854, 0.2596397660800481, 0.08954561830867812, 0.009032288841513471, -0.215, 0.4885394096403408, 0.0437912042168336, -0.03634450416849328, -0.02281718899648854, 0.03653802036926462, 151.65546028827322, 0, 103.74171815257165, 8.33607124934304, 10.23058115541944, 0
0.41, -0.031387438699222905, 8.026308560282916e-05, 0.25916538896606367, 0.08954561830867812, 0.009032288841513471, -0.215, 0.4894259485721503, 0.07285880683695486, -0.031880867165861776, -0.016221067837528885, 0.024077425261247468, 164.96359661494495, 0, 113.83601165729033, 8.957279198196826, 2.860292329615607, 0
0.48, -0.033689358931086905, 0.005570898068555368, 0.258867581797357, 0.08897871715535358, 0.013519907299518978, -0.215, 0.48955196733031064, 0.08479838488630467, -0.050940914268489616, 0.0023707943048704625, 0.017557653747127547, 176.91753256218152, 0, 121.71721190030416, 17.170562613949453, 0, 4.019763750418617
0.55, -0.03194349511194229, 0.009083812893412566, 0.25920109039572814, 0.08897871715535358, 0.013519907299518978, -0.215, 0.4893960916126061, 0.09340523776060174, -0.07399506930858504, 0.002031281332947119, 0.008641367129578548, 188.82561960508485, 0, 129.53089069566826, 28.51722420945018, 0, 11.609144919693344
0.61, -0.030877872726234146, 0.00886313621568567, 0.2595764828560336, 0.08818706129518825, 0.017973375312353285, -0.215, 0.4893692808605044, 0.08746983806383032, -0.08390164983511238, -0.003152724518134522, 0.00569119471770548, 202.02588575302968, 0, 139.43435397320664, 40.4380450999066, 0, 19.73558958397522
0.67, -0.03286292708105334, 0.0073453477112765215, 0.2596279349018145, 0.08818706129518825, 0.017973375312353285, -0.215, 0.48993645633463384, 0.08448245824994138, -0.084949612465528, -0.00511626655785576, 0.006672784257791775, 214.40978972727225, 0, 148.01241971828006, 51.599725804652564, 0, 26.362333092637208
0.74, -0.03790317103336327, 0.007704266100434205, 0.2590880635498635, 0.08717265040165978, 0.022381443696732457, -0.215, 0.49052917614582164, 0.09627884310123423, -0.07974112857344168, -0.003193952840817349, 0.011286681108995882, 227.49576750745632, 0, 157.73466062418683, 64.47994437728087, 0, 35.96600602105052
0.8, -0.04234767456446295, 0.011141463311922235, 0.25835907649392265, 0.08717265040165978, 0.022381443696732457, -0.215, 0.49088763178303874, 0.11793048924928791, -0.08862093100784227, 0.011057374625668066, 0.012643509247101834, 239.57729063628724, 0, 165.82641344549853, 75.72363141297029, 0, 42.70574138024922
0.88, -0.043182479153721864, 0.016493627023252577, 0.25809190422828704, 0.08593804681360918, 0.026732977946011097, -0.215, 0.49050270578228855, 0.12823910934837177, -0.1061765342586978, 0.03372147265634671, 0.005708340527634557, 252.1093900311087, 0, 174.64773468090334, 87.09634836336987, 0, 49.668251367966576
0.94, -0.04309434035493984, 0.018377565712544296, 0.2582854073672689, 0.08593804681360918, 0.026732977946011097, -0.215, 0.4906304583684213, 0.1339413508187054, -0.12612312427240358, 0.03340465910589841, 0.003038730252786407, 264.55530909772415, 0, 183.33062471771967, 98.2313642299506, 0, 56.210252856006605
1.01, -0.04453263317732652, 0.01837820993316786, 0.25838277778402075, 0.08448636906293228, 0.03101698635525378, -0.215, 0.49081248548812906, 0.13288241647998034, -0.1321776651273, 0.04546995990354314, 0.001606839083077846, 277.9687523120337, 0, 193.5773436214717, 110.94976270153848, 0, 65.46439414027239
1.08, -0.04836179808512429, 0.019241999453562638, 0.25780796166344927, 0.08448636906293228, 0.03101698635525378, -0.215, 0.4912582360057475, 0.13806155417058133, -0.1341295745094584, 0.04705189342428846, 0.006046405542736813, 290.69437598943915, 0, 202.7083668280781, 123.38439130455214, 0, 74.20389066416027
1.14, -0.052128991797318516, 0.0215594967231589, 0.25698686252592406, 0.08282128399736198, 0.03522264778559827, -0.215, 0.49109047743881257, 0.15194186232423712, -0.14172937067238026, 0.06471942418371868, 0.006459510741502132, 303.44597734786225, 0, 211.8836065251066, 136.0535823457726, 0, 83.34702864244986
1.21, -0.05567189442800687, 0.024892128529471095, 0.2560412092310118, 0.08282128399736198, 0.03522264778559827, -0.215, 0.49108746765955663, 0.1664453213092041, -0.15019594905655537, 0.08640963352119989, 0.0149258264496044, 316.022820590148, 0, 220.77863620411816, 148.5765662469334, 0, 92.25028169639629
1.28, -0.05813404003613683, 0.027806605423805624, 0.25551448018149314, 0.08094699751823901, 0.03933933899777939, -0.215, 0.4907753202957038, 0.18092326523545113, -0.16737915184037194, 0.09412491154402636, 0.01589309614285075, 328.58876850818814, 0, 229.66330258292737, 161.08857643700276, 0, 101.14104726135076
