timestamp, x, y, z, x_ref, y_ref, z_ref, err, model_time, total_time, q_0, q_1, q_2, q_3, p_0, p_1, p_2, p_3, p_4, p_5
0.01, 0.09575383081455244, 0.029960475132289024, -0.25696914817282557, 0, 0, -0.22, 0.10692588134983397, 0.0016538, 0.0021956, 0.3385361874986809, -0.27727910343613654, 0.25247406379729825, -0.25787814198267717, 86.9237583215044, 0, 233.81429874895804, 191.878917852389, 0, 267.45488007576
0.03, 0.09562488315609066, 0.030363001154937425, -0.2573389060533711, 0, 0, -0.22, 0.10705243585744884, 0.0013121, 0.0017483, 0.33666228332810133, -0.27381263837345365, 0.2651446032827442, -0.26225217557451985, 70.46942905268929, 0, 214.56731691948636, 210.73218535478202, 0, 287.9909754375575
0.05, 0.09509009085640585, 0.030297986882911392, -0.2573911796819724, 0, 0, -0.22, 0.10657482679435203, 0.0012425, 0.0016399, 0.3372681599559932, -0.2723484675784308, 0.2624009877067744, -0.2646225867366169, 103.04100318727254, 0, 224.46602649835623, 186.49801669733216, 0, 279.655689930156
0.07, 0.09502303832445637, 0.030673492197147045, -0.2574979515882845, 0, 0, -0.22, 0.10665991425693568, 0.0012335, 0.0017678, 0.32882864695885955, -0.2698190614160636, 0.24885662783988177, -0.26482733198818315, 103.0530695955743, 0, 317.99982865277974, 187.58089095614162, 0, 164.74790295107942
0.09, 0.09501694322465083, 0.030828492011555127, -0.257464707314252, 0, 0, -0.22, 0.10668748620904704, 0.0012276, 0.0016233, 0.3449953219844496, -0.24042434841699833, 0.24613820713952303, -0.29661801926648834, 109.75975598347225, 0, 126.30524115569105, 188.63670798274802, 0, 423.605288572099
0.11, 0.09468398537060944, 0.030795746827867527, -0.2575879548741777, 0.006280314749153259, 0.012543415592118414, -0.22, 0.09778144469432652, 0.0012004, 0.0016128, 0.3339603860765273, -0.2702781957019666, 0.2425927652306153, -0.2657453672619872, 150.9694048127389, 0, 350.81656452361403, 184.20903718087797, 0, 190.9814734852364
0.13, 0.09255001907485016, 0.030714301760586798, -0.25789671631652217, 0.006280314749153259, 0.012543415592118414, -0.22, 0.09596251401545064, 0.0011888, 0.0016117, 0.3159089056164453, -0.2842270567311258, 0.22962409139956025, -0.26848519223361406, 131.8585524579193, 0, 274.598323346938, 207.40734932249367, 0, 321.31961407808245
0.15, 0.08956633311039601, 0.030431345495714437, -0.2585985570773629, 0.006280314749153259, 0.012543415592118414, -0.22, 0.09352212304668703, 0.0012737, 0.00168, 0.3039675755762378, -0.285637292769696, 0.22347882777956593, -0.2644760125203481, 119.26728488541136, 0, 281.7474172156516, 214.64336095629963, 0, 329.73394331284817
0.17, 0.08406388386346089, 0.030182972900999576, -0.26058150919298567, 0.006280314749153259, 0.012543415592118414, -0.22, 0.08948908589651565, 0.0014334, 0.0018947, 0.2753648319985418, -0.2875333156152954, 0.2253499744682294, -0.2668012313523101, 117.74436112836533, 0, 292.70248771237124, 228.07122486403944, 0, 320.9021602637813
0.19, 0.07650507697743608, 0.02928027876739247, -0.26347287028007643, 0.006280314749153259, 0.012543415592118414, -0.22, 0.0842705777205488, 0.0013536, 0.0017588, 0.23934279050710994, -0.28638363628110197, 0.23422119174298933, -0.25057395360947593, 106.73739539216014, 0, 325.3677129310083, 252.3182963489927, 0, 288.76734178920486
